editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck
63.461538,0,11.538462,3.846154,21.153846,8,YES
67.567568,0,0,21.621622,10.810811,2,YES
55.555556,0,0,0,44.444444,6,YES
58.333333,0,8.333333,25,8.333333,0,YES
31.818182,45.454545,0,22.727273,0,0,YES
50,0,0,0,50,4,YES
80,0,0,10,10,0,YES
83.870968,0,0,0,16.129032,0,YES
79.166667,0,0,0,20.833333,1,YES
81.818182,0,0,18.181818,0,0,YES
100,0,0,0,0,0,YES
100,0,0,0,0,0,YES
80,0,0,0,20,14,YES
80,0,0,0,20,2,YES
75,0,0,0,25,0,YES
46.666667,0,6.666667,0,46.666667,4,YES
66.666667,0,0,0,33.333333,0,YES
100,0,0,0,0,0,YES
100,0,0,0,0,0,YES
100,0,0,0,0,0,YES
100,0,0,0,0,0,YES
45.454545,0,0,36.363636,18.181818,0,YES
33.333333,0,0,33.333333,33.333333,5,YES
42.857143,0,0,57.142857,0,0,YES
60,0,0,0,40,0,YES
100,0,0,0,0,0,YES
20,0,0,0,80,0,YES
57.142857,0,0,0,42.857143,0,YES
0,0,0,0,100,0,YES
50,0,0,0,50,0,YES
83.333333,0,0,0,16.666667,0,YES
50,0,0,0,50,0,YES
71.428571,0,0,0,28.571429,0,YES
50,0,0,0,50,0,YES
30,36,4,22,8,7,YES
0,0,0,0,0,8,YES
0,0,0,0,0,0,YES
39.02439,43.902439,0,9.756098,7.317073,0,YES
68.085106,0,0,2.12766,29.787234,15,YES
88.235294,0,0,0,11.764706,3,YES
84.375,0,3.125,6.25,6.25,7,YES
70.212766,19.148936,2.12766,4.255319,4.255319,12,YES
82.608696,0,0,0,17.391304,0,YES
84.615385,0,0,15.384615,0,0,YES
62.5,0,0,37.5,0,0,YES
92.857143,0,0,7.142857,0,0,YES
51.219512,21.95122,2.439024,14.634146,9.756098,7,YES
38.461538,23.076923,0,23.076923,15.384615,1,YES
58.695652,0,2.173913,13.043478,26.086957,8,YES
61.538462,0,0,19.230769,19.230769,0,YES
81.578947,0,0,0,18.421053,7,YES
66.666667,0,0,11.111111,22.222222,23,YES
68.421053,0,0,0,31.578947,1,YES
54.545455,0,0,9.090909,36.363636,1,YES
42.424242,0,0,24.242424,33.333333,3,YES
73.333333,0,6.666667,13.333333,6.666667,8,YES
56.25,0,0,25,18.75,0,YES
52,0,0,36,12,1,YES
46.153846,28.205128,0,15.384615,10.25641,0,YES
60,0,0,8,32,5,YES
64.285714,17.857143,3.571429,0,14.285714,0,YES
100,0,0,0,0,0,YES
29.72973,37.837838,0,10.810811,21.621622,3,YES
36.363636,0,0,36.363636,27.272727,0,YES
76.470588,0,0,11.764706,11.764706,1,YES
81.818182,0,0,0,18.181818,0,YES
78.571429,0,7.142857,14.285714,0,6,YES
86.666667,0,0,0,13.333333,4,YES
