editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck,,Max,Min,Interval,Increments,Total Count,,,,,0,
18.75,77.083333,0,0,4.166667,0,YES,,100,0,5,5,3,,,,5,5,1
14.545455,81.818182,0,3.636364,0,0,YES,,,,,10,13,,,,6,10,6
7.692308,86.538462,0,5.769231,0,0,YES,,,,,15,15,,,,7,16,12
21.73913,52.173913,0,19.565217,6.521739,1,YES,,,,,20,24,,,,8,,
31.372549,52.941176,0,9.803922,5.882353,0,YES,,,,,25,28,,,,9,,
100,0,0,0,0,7,YES,,,,,30,32,,,,10,,
18.75,72.916667,0,4.166667,4.166667,23,YES,,,,,35,35,,,,11,,
23.684211,42.105263,0,21.052632,13.157895,3,YES,,,,,40,36,,,,12,,
28.571429,48.979592,0,16.326531,6.122449,0,YES,,,,,45,36,,,,13,,
45.454545,0,0,54.545455,0,1,YES,,,,,50,38,,,,14,,
34.782609,45.652174,0,13.043478,6.521739,0,YES,,,,,55,38,,,,15,,
30.612245,57.142857,0,4.081633,8.163265,5,YES,,,,,60,38,,,,16,,
36,58,2,0,4,0,YES,,,,,65,38,,,,,,
22.641509,77.358491,0,0,0,0,YES,,,,,70,38,,,,,,
19.607843,62.745098,0,7.843137,9.803922,3,YES,,,,,75,38,,,,,,
14.285714,79.591837,0,4.081633,2.040816,1,YES,,,,,80,39,,,,,,
16.363636,81.818182,0,0,1.818182,0,YES,,,,,85,39,,,,,,
19.298246,78.947368,0,0,1.754386,4,YES,,,,,90,39,,,,,,
28.888889,48.888889,0,17.777778,4.444444,2,YES,,,,,95,39,,,,,,
15.686275,68.627451,3.921569,11.764706,0,0,YES,,,,,100,40,,,,,,
17.857143,64.285714,0,17.857143,0,0,YES,,,,,,,,,,,,
21.818182,72.727273,0,3.636364,1.818182,0,YES,,,,,,,,,,,,
28.888889,64.444444,0,0,6.666667,0,YES,,,,,,,,,,,,
46.153846,48.076923,0,0,5.769231,14,YES,,,,,,,,,,,,
8.62069,89.655172,0,0,1.724138,0,YES,,,,,,,,,,,,
5.172414,93.103448,0,0,1.724138,0,YES,,,,,,,,,,,,
6.666667,93.333333,0,0,0,0,YES,,,,,,,,,,,,
6.666667,93.333333,0,0,0,0,YES,,,,,,,,,,,,
5,95,0,0,0,0,YES,,,,,,,,,,,,
7.272727,70.909091,0,21.818182,0,0,YES,,,,,,,,,,,,
5.084746,93.220339,0,0,1.694915,0,YES,,,,,,,,,,,,
5,95,0,0,0,0,YES,,,,,,,,,,,,
5.263158,92.982456,0,0,1.754386,0,YES,,,,,,,,,,,,
5.172414,91.37931,0,0,3.448276,0,YES,,,,,,,,,,,,
16.071429,82.142857,0,0,1.785714,0,YES,,,,,,,,,,,,
7.017544,84.210526,0,0,8.77193,0,YES,,,,,,,,,,,,
17.647059,52.941176,3.921569,21.568627,3.921569,7,YES,,,,,,,,,,,,
0,0,0,0,0,8,YES,,,,,,,,,,,,
26,64,0,8,2,0,YES,,,,,,,,,,,,
76.470588,0,0,2.941176,20.588235,0,YES,,,,,,,,,,,,
